imdb_id,title,rating,year,runtime,top250,top250tv,title_date
tt0437749,Sixty Minutes,0,2024,5395,0,0,2024-01-19
,Caged Wings,,2024,6150,0,0,2024-01-19
tt0331136,Inside the NFL,7.1,2024,0,0,0,2024-01-18
,Rachid Badouri: Les fleurs du tapis,,2024,5995,0,0,2024-01-18
,Kübra,,2024,0,0,0,2024-01-18
tt6722142,From the Ashes,7,2024,5535,0,0,2024-01-18
tt0494224,End of the Line,5.8,2024,0,0,0,2024-01-17
tt0247164,American Nightmare,3.8,2024,0,0,0,2024-01-17
tt3042892,When Spring Comes,0,2024,0,0,0,2024-01-16
tt5804414,Ripe for the Picking,0,2024,0,0,0,2024-01-16
,Dusty Slay: Workin&#39; Man,,2024,4164,0,0,2024-01-16
,The Witch and the Beast,,2024,0,0,0,2024-01-15
tt28454318,Bucchigiri?!,0,2024,0,0,0,2024-01-15
tt14935892,maboroshi,0,2024,6718,0,0,2024-01-15
,Shaman King Flowers,,2024,0,0,0,2024-01-14
tt28685624,7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!,0,2024,0,0,0,2024-01-13
,"Tis Time for ""Torture,"" Princess",,2024,0,0,0,2024-01-12
tt23735438,Love is Blind: Sweden,0,2024,0,0,0,2024-01-12
tt11948256,Lift,6.6,2024,6403,0,0,2024-01-12
tt15334488,After Everything,4.6,2024,5601,0,0,2024-01-11
,The Wrong Way to Use Healing Magic,,2024,0,0,0,2024-01-11
,Pon no Michi,,2024,0,0,0,2024-01-11
tt22297290,Killer Soup,0,2024,0,0,0,2024-01-11
tt19723558,Detective Forst,0,2024,0,0,0,2024-01-11
tt9124428,Champion,8.2,2024,0,0,0,2024-01-11
tt10399902,Boy Swallows Universe,0,2024,0,0,0,2024-01-11
,Sengoku Youko,,2024,0,0,0,2024-01-11
,A Sign of Affection,,2024,0,0,0,2024-01-10
tt3733774,The Trust,5.4,2024,0,0,0,2024-01-10
,Pete Davidson: Turbo Fonzarelli,,2024,3360,0,0,2024-01-09
,The Demon Prince of Momochi House,,2024,0,0,0,2024-01-08
tt21209876,Solo Leveling,0,2024,0,0,0,2024-01-07
,The Unwanted Undead Adventurer,,2024,0,0,0,2024-01-06
,The Secrets of the Married,,2024,0,0,0,2024-01-05
tt13820128,Good Grief,6.6,2024,6058,0,0,2024-01-05
tt21621494,Delicious in Dungeon,0,2024,0,0,0,2024-01-05
tt7284202,Trespassers,4.9,2024,5447,0,0,2024-01-04
tt17632862,The Brothers Sun,0,2024,0,0,0,2024-01-04
tt16277242,Society of the Snow,7.7,2024,8731,0,0,2024-01-04
tt1109574,Between Us,4.7,2024,6612,0,0,2024-01-04
tt0318224,Horizon,8.6,2024,3015,0,0,2024-01-04
tt0387514,Prime,6.2,2024,5629,0,0,2024-01-03
,You Are What You Eat: A Twin Experiment,,2024,0,0,0,2024-01-01
tt0978808,Fool Me Once,7.3,2024,0,0,0,2024-01-01
,Bitconned,,2024,5647,0,0,2024-01-01
tt21742340,The Influencer,5.5,2024,0,0,0,2023-12-13
tt27790130,The Big Nailed It Baking Challenge,0,2024,0,0,0,2023-08-04
